Well Name,INPT ID,"EUR (MBBL, MMCF)","EUR/FT (BBL/FT, MCF/FT)",Phase
Well #123,INPT.JmouY7dt5b,818.8883016156939,85.40762428198725,oil
Well #124,INPT.8P8sx4oqQX,409.7983326511353,85.09101591593341,oil
Well #125,INPT.h3oNJFv540,397.11135977659876,84.15159139152337,oil
Well #126,INPT.rUeSqT8p8z,411.6176409931091,87.57822148789555,oil
Well #127,INPTDdAy0zZvWq,1770.9553501049336,183.70906121420472,oil
Well #128,INPTPO5NaelwWa,1300.024649848416,131.24575603173017,oil
Well #129,INPT.EylIzzw4iY,365.0698469110064,77.11657095712006,oil
Well #130,INPT.SdMxgIsDmF,314.2637162386957,66.65190164129282,oil
Well #131,INPT.4hyhA6bEFx,178.81195578973526,38.70388653457473,oil
Well #132,INPT.waT8hYw7aB,133.9351278412527,28.990287411526555,oil
Well #133,INPT.9V2tln0bsX,123.08747737170907,26.64231111941755,oil
Well #134,INPT.OsOl7JqdaN,74.42053243802056,9.244786638263424,oil
Well #135,INPT.sDaFQylJHa,1169.1617396542433,117.22094843134582,oil
Well #136,INPT.FU1VQaLK0y,947.9870352,95.1794212,oil
Well #137,INPT.3lXZh7yggG,786.9486349621181,81.77788994722208,oil
Well #138,INPT.8odNO31sWC,392.7777145089613,90.29372747332444,oil
Well #139,INPT.GqoJfuaseV,268.51520695513227,60.19170745463624,oil
Well #140,INPT.tph0zNdlCr,307.9141475918453,67.24484551033964,oil
Well #141,INPT.pKJZuKC1rB,298.53889354649925,65.94629855235239,oil
Well #142,INPT.TMwDpiVrcO,381.4376568976742,87.36547341,oil
Well #143,INPT.NV8i7Ya71Z,210.6781420808625,47.110496887491614,oil
Well #144,INPT.ZFQrgyU8R3,289.6611365105873,66.13267956862724,oil
Well #145,INPTTgw42ES3hB,200.90426250775644,49.180970014138666,oil
Well #146,INPT.OrbwMsnv0C,404.76334353849063,86.76599004040528,oil
Well #147,INPT.pxdVwuCnja,419.5888436,89.12252413681797,oil
Well #148,INPTILnCqUcNib,178.01228101048832,28.582575627888296,oil
Well #149,INPTU7WJqgEFLi,171.15584657844136,27.884627986060828,oil
Well #150,INPT.jiesKmPCwN,340.8918645813188,47.43833350700234,oil
Well #151,INPT.VoOiWkF39A,368.41364097087967,51.15435170381556,oil
Well #152,INPT.w6dFT0NOmc,326.9480351226855,46.45467961390814,oil
Well #153,INPT.PyZouF2zAT,278.0442175263024,38.71942870440084,oil
Well #154,INPT.9kP2w8CW4J,344.5474032574911,49.15785465223158,oil
Well #155,INPT.UrdrnQQwja,161.4924516690449,22.488852759928267,oil
Well #156,INPT.mucReftX9e,227.33288871481835,49.52786246510203,oil
Well #157,INPTGiGRuJqeDB,3.0660000000000003,4.945161290322581,oil
Well #158,INPT.e0ZZu3B1QI,902.9765130327153,129.81260969417988,oil
Well #159,INPT.qPViBBm6kC,825.9518192385074,117.35604138086208,oil
Well #160,INPTQVMNvFuQ7j,171.98816241179125,36.538806545950976,oil
Well #161,INPTPfW0urmslJ,183.43749333238833,38.97121167036081,oil
Well #162,INPT1MwTIYCnfy,163.7272651082995,34.541617111455594,oil
Well #163,INPT66rqOu19EJ,327.56857895555373,69.84404668561913,oil
Well #164,INPTQHh5xZDPAV,720.8621425179169,75.34094298891273,oil
Well #165,INPT9e30WdKy3Y,864.6395652405806,91.52530594268875,oil
Well #166,INPTq4kwYzLa8v,911.0123864872912,95.84559563253984,oil
Well #167,INPT0K3JCHjyGK,712.6141174930833,74.40890858234137,oil
Well #168,INPTkFtnlElDwV,702.8794824,74.57607240335872,oil
Well #169,INPT83GCBLVQiD,703.1047294797396,74.40261687616291,oil
Well #170,INPTS6e6DBNXeD,651.4622653167004,67.48107160935368,oil
Well #171,INPTQPrSyK92oN,676.2937728448205,69.87949709,oil
Well #172,INPT526Sz8EGH0,596.1098750093932,61.61342377358069,oil
Well #173,INPT0ju39aNS7b,1094.9995861944308,149.75377272899763,oil
Well #174,INPTz8RVqTrN7U,845.7307521596724,120.04694849675975,oil
Well #175,INPTSaXth7LhCO,1012.2640241218857,143.68545409820945,oil
Well #176,INPTdbdDJXxRni,861.3093119255981,89.60771035430692,oil
Well #177,INPT2oDYCzvB3U,772.5895391617847,80.43618315062828,oil
Well #178,INPTgXax1Dg4f1,803.9297912366446,82.62382233,oil
Well #179,INPTtyBWUvcjnv,759.4015125757428,78.93986617211463,oil
Well #180,INPTNLuoAYnPkN,732.8635955356045,74.59171455833125,oil
Well #181,INPT7tpvQmYR9g,738.0994286091864,76.48698742064107,oil
Well #182,INPTLsDMTwKiUP,660.5068053577237,68.51019659347824,oil
Well #183,INPTJ4fWB7e8Fq,1160.9059107041173,118.54446142184389,oil
